id_seq1,response_seq1,id_seq2,response_seq2,distance
3ZRC_C,1,1LM8_V,1,4540.83874799502
3ZRC_C,1,7KHH_C,1,5068.007382604804
3ZRC_C,1,XP_011915503.1,1,11105.093821824677
3ZRC_C,1,7CJB_A,1,7101.459517238234
3ZRC_C,1,XP_011732630.1,1,11026.560853186746
3ZRC_C,1,XP_007983401.1,1,11752.257361344688
3ZRC_C,1,6ZHC_AAA,1,6018.735649188989
3ZRC_C,1,XP_011807665.1,1,11699.237951530162
3ZRC_C,1,XP_025231003.1,1,11859.393417348329
3ZRC_C,1,4B9K_C,1,10294.151689650553
3ZRC_C,1,4BKS_C,1,12461.430605872843
1LQB_C,1,NP_000542.1,1,12486.862178346379
1LQB_C,1,4WQO_A,1,14216.417529080849
1LQB_C,1,XP_030657505.1,1,12277.148365681955
1LQB_C,1,NP_001126390.1,1,12287.123740215786
1LQB_C,1,XP_004033637.2,1,13430.80756371644
1LQB_C,1,XP_010367684.1,1,12371.90503985402
1LQB_C,1,7Q2J_C,1,12614.331748447446
1LQB_C,1,3ZRC_C,1,5064.085114374043
1LQB_C,1,1LM8_V,1,3896.0054497298934
1LQB_C,1,7KHH_C,1,6757.70391586273
1LQB_C,1,XP_011915503.1,1,11881.72890231227
1LQB_C,1,7CJB_A,1,4897.664356418209
1LQB_C,1,XP_011732630.1,1,11769.751573766258
1LQB_C,1,XP_007983401.1,1,12578.296864878477
1LQB_C,1,6ZHC_AAA,1,3762.7459138954905
1LQB_C,1,XP_011807665.1,1,12011.684895795906
1LQB_C,1,XP_025231003.1,1,12279.833942378387
1LQB_C,1,4B9K_C,1,11375.875672505148
1LQB_C,1,4BKS_C,1,12179.024874215564
1LM8_V,1,NP_000542.1,1,11469.991627860922
1LM8_V,1,4WQO_A,1,13183.833085137176
1LM8_V,1,XP_030657505.1,1,11343.857613086002
1LM8_V,1,NP_001126390.1,1,11180.417550734568
1LM8_V,1,XP_004033637.2,1,12300.925654761644
1LM8_V,1,XP_010367684.1,1,11423.589361030845
1LM8_V,1,7Q2J_C,1,11640.068636332571
1LM8_V,1,3ZRC_C,1,4540.83874799502
1LM8_V,1,1LQB_C,1,3896.0054497298934
1LM8_V,1,7KHH_C,1,6288.455763909366
1LM8_V,1,XP_011915503.1,1,11244.903439870797
1LM8_V,1,7CJB_A,1,4433.257827111202
1LM8_V,1,XP_011732630.1,1,11187.181254501967
1LM8_V,1,XP_007983401.1,1,12089.738284899955
1LM8_V,1,6ZHC_AAA,1,4058.119673222503
1LM8_V,1,XP_011807665.1,1,11461.985371316721
1LM8_V,1,XP_025231003.1,1,11801.085932645836
1LM8_V,1,4B9K_C,1,10847.741997779145
1LM8_V,1,4BKS_C,1,12196.78389723811
7KHH_C,1,NP_000542.1,1,11556.669218610337
7KHH_C,1,4WQO_A,1,12917.120458864683
7KHH_C,1,XP_030657505.1,1,11651.926790329906
7KHH_C,1,NP_001126390.1,1,11366.118292727477
7KHH_C,1,XP_004033637.2,1,11572.100574483526
7KHH_C,1,XP_010367684.1,1,11724.15757238308
7KHH_C,1,7Q2J_C,1,11046.2228886171
7KHH_C,1,3ZRC_C,1,5068.007382604804
7KHH_C,1,1LQB_C,1,6757.70391586273
7KHH_C,1,1LM8_V,1,6288.455763909366
7KHH_C,1,XP_011915503.1,1,11517.020338526514
7KHH_C,1,7CJB_A,1,7601.797715604915
7KHH_C,1,XP_011732630.1,1,11551.947980044964
7KHH_C,1,XP_007983401.1,1,11830.120356414667
7KHH_C,1,6ZHC_AAA,1,7237.699004787518
7KHH_C,1,XP_011807665.1,1,11861.376919565291
7KHH_C,1,XP_025231003.1,1,12090.769675958978
7KHH_C,1,4B9K_C,1,10397.01224112315
7KHH_C,1,4BKS_C,1,12693.356918136342
XP_011915503.1,2,NP_000542.1,2,7375.583499730293
XP_011915503.1,2,4WQO_A,2,11913.340694670655
XP_011915503.1,2,XP_030657505.1,2,7617.6952194161095
XP_011915503.1,2,NP_001126390.1,2,8098.8349529034285
XP_011915503.1,2,XP_004033637.2,2,11140.719400770755
XP_011915503.1,2,XP_010367684.1,2,7627.347063594813
XP_011915503.1,2,7Q2J_C,2,12460.235188113711
XP_011915503.1,2,3ZRC_C,2,11105.093821824677
XP_011915503.1,2,1LQB_C,2,11881.72890231227
XP_011915503.1,2,1LM8_V,2,11244.903439870797
XP_011915503.1,2,7KHH_C,2,11517.020338526514
XP_011915503.1,2,7CJB_A,2,12186.89312540833
XP_011915503.1,2,XP_011732630.1,2,2382.0264903521397
XP_011915503.1,2,XP_007983401.1,2,5011.634791818887
XP_011915503.1,2,6ZHC_AAA,2,11497.657046571569
XP_011915503.1,2,XP_011807665.1,2,4898.351086558929
XP_011915503.1,2,XP_025231003.1,2,4011.060505616685
XP_011915503.1,2,4B9K_C,2,13674.589163195933
XP_011915503.1,2,4BKS_C,2,14433.064095412707
7CJB_A,2,NP_000542.1,2,12282.38771473953
7CJB_A,2,4WQO_A,2,14334.789812744786
7CJB_A,2,XP_030657505.1,2,12215.590773081942
7CJB_A,2,NP_001126390.1,2,12205.790473069277
7CJB_A,2,XP_004033637.2,2,13440.235650138091
7CJB_A,2,XP_010367684.1,2,12550.939825041149
7CJB_A,2,7Q2J_C,2,12907.248461679901
7CJB_A,2,3ZRC_C,2,7101.459517238234
7CJB_A,2,1LQB_C,2,4897.664356418209
7CJB_A,2,1LM8_V,2,4433.257827111202
7CJB_A,2,7KHH_C,2,7601.797715604915
7CJB_A,2,XP_011915503.1,2,12186.89312540833
7CJB_A,2,XP_011732630.1,2,12084.07237871481
7CJB_A,2,XP_007983401.1,2,12811.889541513101
7CJB_A,2,6ZHC_AAA,2,4879.476063768647
7CJB_A,2,XP_011807665.1,2,12552.24951738077
7CJB_A,2,XP_025231003.1,2,12708.208142996138
7CJB_A,2,4B9K_C,2,11567.240641462058
7CJB_A,2,4BKS_C,2,12433.645484260971
XP_011732630.1,2,NP_000542.1,2,7725.6652201233865
XP_011732630.1,2,4WQO_A,2,12040.964252905314
XP_011732630.1,2,XP_030657505.1,2,7957.921930082427
XP_011732630.1,2,NP_001126390.1,2,8461.182878925743
XP_011732630.1,2,XP_004033637.2,2,11249.608593678955
XP_011732630.1,2,XP_010367684.1,2,8107.476480471286
XP_011732630.1,2,7Q2J_C,2,12611.560547766552
XP_011732630.1,2,3ZRC_C,2,11026.560853186746
XP_011732630.1,2,1LQB_C,2,11769.751573766258
XP_011732630.1,2,1LM8_V,2,11187.181254501967
XP_011732630.1,2,7KHH_C,2,11551.947980044964
XP_011732630.1,2,XP_011915503.1,2,2382.0264903521397
XP_011732630.1,2,7CJB_A,2,12084.07237871481
XP_011732630.1,2,XP_007983401.1,2,5522.083702649723
XP_011732630.1,2,6ZHC_AAA,2,11424.891865262269
XP_011732630.1,2,XP_011807665.1,2,5317.9349178031025
XP_011732630.1,2,XP_025231003.1,2,4529.5855197609435
XP_011732630.1,2,4B9K_C,2,13639.933621905338
XP_011732630.1,2,4BKS_C,2,14284.582411546658
XP_007983401.1,2,NP_000542.1,2,8397.880923828448
XP_007983401.1,2,4WQO_A,2,11765.319213991223
XP_007983401.1,2,XP_030657505.1,2,8530.264616492195
XP_007983401.1,2,NP_001126390.1,2,8893.21114114964
XP_007983401.1,2,XP_004033637.2,2,10991.599736743
XP_007983401.1,2,XP_010367684.1,2,8879.11628694639
XP_007983401.1,2,7Q2J_C,2,12170.193691192608
XP_007983401.1,2,3ZRC_C,2,11752.257361344688
XP_007983401.1,2,1LQB_C,2,12578.296864878477
XP_007983401.1,2,1LM8_V,2,12089.738284899955
XP_007983401.1,2,7KHH_C,2,11830.120356414667
XP_007983401.1,2,XP_011915503.1,2,5011.634791818887
XP_007983401.1,2,7CJB_A,2,12811.889541513101
XP_007983401.1,2,XP_011732630.1,2,5522.083702649723
XP_007983401.1,2,6ZHC_AAA,2,12266.670961413534
XP_007983401.1,2,XP_011807665.1,2,7072.032366618822
XP_007983401.1,2,XP_025231003.1,2,6854.812285034915
XP_007983401.1,2,4B9K_C,2,13646.151962998558
XP_007983401.1,2,4BKS_C,2,14944.769535108488
6ZHC_AAA,2,NP_000542.1,2,11877.805181345875
6ZHC_AAA,2,4WQO_A,2,13838.251719948274
6ZHC_AAA,2,XP_030657505.1,2,11789.87137567099
6ZHC_AAA,2,NP_001126390.1,2,11679.753327583
6ZHC_AAA,2,XP_004033637.2,2,12965.72451356326
6ZHC_AAA,2,XP_010367684.1,2,11902.700822180663
6ZHC_AAA,2,7Q2J_C,2,12773.11069472448
6ZHC_AAA,2,3ZRC_C,2,6018.735649188989
6ZHC_AAA,2,1LQB_C,2,3762.7459138954905
6ZHC_AAA,2,1LM8_V,2,4058.119673222503
6ZHC_AAA,2,7KHH_C,2,7237.699004787518
6ZHC_AAA,2,XP_011915503.1,2,11497.657046571569
6ZHC_AAA,2,7CJB_A,2,4879.476063768647
6ZHC_AAA,2,XP_011732630.1,2,11424.891865262269
6ZHC_AAA,2,XP_007983401.1,2,12266.670961413534
6ZHC_AAA,2,XP_011807665.1,2,11741.024139699177
6ZHC_AAA,2,XP_025231003.1,2,11910.743593081062
6ZHC_AAA,2,4B9K_C,2,11871.00747014357
6ZHC_AAA,2,4BKS_C,2,12464.065607386308
XP_011807665.1,2,NP_000542.1,2,7826.292022900888
XP_011807665.1,2,4WQO_A,2,12713.452214188126
XP_011807665.1,2,XP_030657505.1,2,8153.576604911854
XP_011807665.1,2,NP_001126390.1,2,8399.578197456336
XP_011807665.1,2,XP_004033637.2,2,11333.187840746186
XP_011807665.1,2,XP_010367684.1,2,7895.399806386706
XP_011807665.1,2,7Q2J_C,2,12940.387227340943
XP_011807665.1,2,3ZRC_C,2,11699.237951530162
XP_011807665.1,2,1LQB_C,2,12011.684895795906
XP_011807665.1,2,1LM8_V,2,11461.985371316721
XP_011807665.1,2,7KHH_C,2,11861.376919565291
XP_011807665.1,2,XP_011915503.1,2,4898.351086558929
XP_011807665.1,2,7CJB_A,2,12552.24951738077
XP_011807665.1,2,XP_011732630.1,2,5317.9349178031025
XP_011807665.1,2,XP_007983401.1,2,7072.032366618822
XP_011807665.1,2,6ZHC_AAA,2,11741.024139699177
XP_011807665.1,2,XP_025231003.1,2,4223.398555966174
XP_011807665.1,2,4B9K_C,2,14416.054879032961
XP_011807665.1,2,4BKS_C,2,14777.001027093962
XP_025231003.1,2,NP_000542.1,2,8451.8764613328
XP_025231003.1,2,4WQO_A,2,12876.586288884522
XP_025231003.1,2,XP_030657505.1,2,8589.864053475214
XP_025231003.1,2,NP_001126390.1,2,8914.55790492073
XP_025231003.1,2,XP_004033637.2,2,11487.943291487167
XP_025231003.1,2,XP_010367684.1,2,8612.004856651514
XP_025231003.1,2,7Q2J_C,2,13369.146910854748
XP_025231003.1,2,3ZRC_C,2,11859.393417348329
XP_025231003.1,2,1LQB_C,2,12279.833942378387
XP_025231003.1,2,1LM8_V,2,11801.085932645836
XP_025231003.1,2,7KHH_C,2,12090.769675958978
XP_025231003.1,2,XP_011915503.1,2,4011.060505616685
XP_025231003.1,2,7CJB_A,2,12708.208142996138
XP_025231003.1,2,XP_011732630.1,2,4529.5855197609435
XP_025231003.1,2,XP_007983401.1,2,6854.812285034915
XP_025231003.1,2,6ZHC_AAA,2,11910.743593081062
XP_025231003.1,2,XP_011807665.1,2,4223.398555966174
XP_025231003.1,2,4B9K_C,2,14335.498861104614
XP_025231003.1,2,4BKS_C,2,14630.181674805914
4B9K_C,2,NP_000542.1,2,12055.056237007911
4B9K_C,2,4WQO_A,2,12711.360190406214
4B9K_C,2,XP_030657505.1,2,11379.0451940708
4B9K_C,2,NP_001126390.1,2,11636.197713593523
4B9K_C,2,XP_004033637.2,2,13458.026173413586
4B9K_C,2,XP_010367684.1,2,11970.170133054733
4B9K_C,2,7Q2J_C,2,13487.311474422302
4B9K_C,2,3ZRC_C,2,10294.151689650553
4B9K_C,2,1LQB_C,2,11375.875672505148
4B9K_C,2,1LM8_V,2,10847.741997779145
4B9K_C,2,7KHH_C,2,10397.01224112315
4B9K_C,2,XP_011915503.1,2,13674.589163195933
4B9K_C,2,7CJB_A,2,11567.240641462058
4B9K_C,2,XP_011732630.1,2,13639.933621905338
4B9K_C,2,XP_007983401.1,2,13646.151962998558
4B9K_C,2,6ZHC_AAA,2,11871.00747014357
4B9K_C,2,XP_011807665.1,2,14416.054879032961
4B9K_C,2,XP_025231003.1,2,14335.498861104614
4B9K_C,2,4BKS_C,2,8191.670724644086
4BKS_C,2,NP_000542.1,2,13596.843376441722
4BKS_C,2,4WQO_A,2,15126.607174482391
4BKS_C,2,XP_030657505.1,2,13282.326783352883
4BKS_C,2,NP_001126390.1,2,13643.383826338544
4BKS_C,2,XP_004033637.2,2,15514.423465986376
4BKS_C,2,XP_010367684.1,2,13637.702759535483
4BKS_C,2,7Q2J_C,2,16288.178816532241
4BKS_C,2,3ZRC_C,2,12461.430605872843
4BKS_C,2,1LQB_C,2,12179.024874215564
4BKS_C,2,1LM8_V,2,12196.78389723811
4BKS_C,2,7KHH_C,2,12693.356918136342
4BKS_C,2,XP_011915503.1,2,14433.064095412707
4BKS_C,2,7CJB_A,2,12433.645484260971
4BKS_C,2,XP_011732630.1,2,14284.582411546658
4BKS_C,2,XP_007983401.1,2,14944.769535108488
4BKS_C,2,6ZHC_AAA,2,12464.065607386308
4BKS_C,2,XP_011807665.1,2,14777.001027093962
4BKS_C,2,XP_025231003.1,2,14630.181674805914
4BKS_C,2,4B9K_C,2,8191.670724644086
